2n1c1m;2n1c2m;2n1c3m;2n2c1m;2n2c3m;2n2c5m;4n1c1m;4n1c4m;4n1c6m;4n2c2m;4n2c6m;4n2c10m;4n3c2m;4n3c8m;4n3c13m;4n4c3m;4n4c10m;4n4c16m;5n1c1m;5n1c5m;5n1c8m;5n2c2m;5n2c8m;5n2c12m;5n3c3m;5n3c10m;5n3c16m;5n4c3m;5n4c13m;5n4c20m;5n5c4m;5n5c15m;5n5c24m;6n1c2m;6n1c6m;6n1c10m;6n2c2m;6n2c9m;6n2c15m;6n3c3m;6n3c12m;6n3c20m;6n4c4m;6n4c15m;6n4c24m;6n5c5m;6n5c18m;6n5c29m;6n6c6m;6n6c21m;6n6c34m;3n1c1m;3n1c3m;3n1c5m;3n2c1m;3n2c5m;3n2c7m;3n3c2m;3n3c6m;3n3c10m
47828;58348;69146;39410;181288;60462;20744;70888;54824;40942;98636;53762;42304;111804;100162;63466;145916;138970;17440;48194;35228;33276;62542;69738;49224;70680;71848;48930;108954;75856;62382;99160;111454;30348;35678;24114;26510;84074;37750;42392;99346;68632;54960;92088;69108;71970;70246;78980;90710;117350;88324;32158;63106;50870;28674;83424;95308;62418;126400;69826
47826;58348;69146;39406;181286;60462;20742;70884;54822;40944;98640;53758;42304;111806;100162;63466;145906;138978;17440;48196;35228;33276;62542;69738;49224;70678;71850;48928;108962;75856;62390;99150;111464;30880;35678;24110;26510;84076;37750;42390;99346;68636;54952;92090;69108;71970;70254;78992;90698;117336;88312;32156;63108;50870;28674;83506;95312;62412;126398;69826
36406;55170;68694;36740;105902;53768;20742;70886;54824;40944;98638;53762;42300;111812;100156;63466;145906;138978;17440;48194;35228;33276;62544;69738;49224;70672;71850;48930;108964;75856;62382;99154;111454;30876;35680;24110;26510;84074;37748;42390;99340;68638;54952;92096;69108;71970;70266;78992;90698;117322;88310;32156;63108;50870;28672;83510;95312;62412;126396;69826
36408;55266;68692;36742;105898;53764;20744;70884;54822;40944;98638;53762;42302;111806;100156;63466;145916;138970;17440;48192;35228;33254;62548;69738;49224;70668;71848;48922;108970;75848;62382;99158;111454;30876;35676;24110;26508;84076;37748;42390;99336;68638;54952;92096;69108;71970;70280;78992;90698;117320;88320;24796;61970;51582;25074;102790;93626;51402;125734;97586
36760;54050;58292;39694;115732;57732;18400;74190;49866;43002;99392;61204;36574;136388;109638;54656;126018;145886;17440;48192;35228;33280;62548;69744;49224;70674;71848;48922;108962;75856;62382;99168;111454;30876;35674;24110;26506;84076;37752;42390;99342;68638;55072;92096;69104;71960;70270;78992;90698;117334;88322;24794;61974;51582;25074;102782;93626;51408;125698;97582
36760;54046;58292;39692;115682;57732;18402;74190;49978;43002;99392;61198;36574;136382;109638;54656;126018;145886;15380;51548;28090;29254;63054;61296;43952;93678;83834;47064;123042;101524;59942;117584;88438;30876;35674;24112;26506;84078;37752;42384;99348;68638;55072;92096;69108;71960;70258;78992;90710;117348;88322;24794;61972;51584;25076;102782;93626;51408;125688;97586
36502;53588;36254;37286;117090;58680;18402;74190;49978;43006;99390;61198;36574;136380;109638;54650;126028;145886;15382;51544;28084;29256;63054;61298;43952;93680;83834;47068;123042;101774;59950;117586;88436;33978;34044;27346;24446;80184;40512;36310;88460;68474;49226;118910;84692;61406;40036;80734;92790;62958;86780;24466;57910;48846;24778;100136;89604;49892;110816;100034
36502;53586;36892;37286;117074;58680;18402;74190;49980;43006;99396;61194;36572;136388;109638;54650;126018;145886;15382;51542;28082;29252;63054;61298;43952;93682;83828;47068;123038;101774;59950;117580;88436;33978;34038;27248;24446;80182;40512;36304;88458;68478;49218;118910;84692;61406;40038;80706;92778;62956;86776;24468;57892;48844;24780;100130;89806;49888;110814;100036
36790;60050;45384;36222;111354;50088;20010;74944;55290;36302;118492;74114;36336;133630;105252;55796;132630;137314;15382;51542;28082;29252;63054;61302;43952;93688;83832;47068;123032;101774;59950;117578;88426;33978;34040;27248;24444;80176;40512;36304;88452;68480;49212;118900;84692;61374;40038;80704;92776;62968;86788;24466;57882;48846;24780;100128;89806;49890;110814;100032
36792;60044;45386;36222;111348;50074;20012;74934;55292;36302;118486;74104;36336;133640;105270;55798;132630;137306;15380;51546;28082;29256;63122;61298;43952;93688;83832;47068;123036;101782;59958;117572;88424;33968;34044;27248;24444;80176;40512;36304;88458;68480;49216;118890;84692;61376;40028;80704;92768;62194;86792;24848;61242;50954;25040;92648;92446;50168;105598;93684
